budget_id,budget_flops,schedule_regime,model_name,n_layer,n_head,n_embd,num_params,target_train_tokens,actual_train_tokens,actual_compute_proxy,fixed_schedule_horizon_steps,runs,mean_train_steps,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_final_test_loss,mean_runtime_sec,mean_tokens_per_second,actual_d_over_n,token_parameter_ratio,frontier_token_parameter_ratio
0,1200000000000.0,fixed,gpt_2l_60d,2,4,60,111120,1799856.0115190784,1800192,1200224010240.0,994,3,879.0,2.4850026607513427,0.0023737631490832025,2.4850026607513427,2.478965743382772,3.5089993476867676,545975.4244678484,16.200431965442764,16.200431965442764,16.200431965442764
1,2000000000000.0,fixed,gpt_2l_60d,2,4,60,111120,2999760.019198464,3000320,2000373350400.0,1656,3,1465.0,2.446806681156158,0.00224030303563516,2.446806681156158,2.4426975647608438,5.0672822793324785,603639.2833052425,27.000719942404608,27.000719942404608,27.000719942404608
2,3200000000000.0,fixed,gpt_2l_60d,2,4,60,111120,4799616.030717542,4800512,3200597360640.0,2649,3,2344.0,2.3971354722976685,0.018729573686087214,2.3971354722976685,2.3938507636388144,8.321751515070597,586620.1175879819,43.201151907847375,43.201151907847375,43.201151907847375
3,5000000000000.0,fixed,gpt_2l_64d,2,4,64,124672,6684206.023271732,6684672,5000348565504.0,3601,3,3264.0,2.2588969985644023,0.008877728229409531,2.2576519807179767,2.2615302364031473,13.31848963101705,502055.88886092656,53.61806981519507,53.61806981519507,53.61806981519507
4,8000000000000.0,fixed,gpt_2l_64d,2,4,64,124672,10694729.637234772,10696704,8001476886528.0,5762,3,5223.0,2.1200780351956685,0.005309069805044553,2.1200780351956685,2.1306069533030194,21.199896097183228,507366.810933519,85.79876796714579,85.79876796714579,85.79876796714579
5,13000000000000.0,fixed,gpt_3l_72d,3,4,72,217224,9974342.920978652,9975808,13001909501952.0,8113,3,4871.0,1.99473983446757,0.007501138450489989,1.9938716252644857,2.010277070601781,29.49271098772685,339561.68153739994,45.92405995654256,45.92405995654256,45.92405995654256
6,20000000000000.0,fixed,gpt_3l_72d,3,4,72,217224,15345142.955351772,15345664,20000679100416.0,13056,3,7493.0,1.8677164494991303,0.004581782595625185,1.8658907234668731,1.8868391136328377,30.241846481959026,509517.46466582915,70.64442234743859,70.64442234743859,70.64442234743859
7,32000000000000.0,fixed,gpt_4l_80d,4,4,80,342240,15583606.046439147,15585280,32003437363200.0,14911,3,7610.0,1.7519846300284068,0.009742933955128623,1.751306927204132,1.7771612187226615,40.218320767084755,388387.5041881306,45.53903693314633,45.53903693314633,45.53903693314633
8,50000000000000.0,fixed,gpt_4l_96d,4,4,96,484416,17202844.937684413,17203200,50001031987200.0,15390,3,8400.0,1.659767597913742,0.000587111762331851,1.6584843317667641,1.6902988493442537,39.15957053502401,441413.67577632115,35.513277843836704,35.513277843836704,35.513277843836704
0,1200000000000.0,matched,gpt_2l_32d,2,4,32,37760,5296610.169491526,5298176,1200354754560.0,864,3,2587.0,2.4772972623507186,0.0028252473363185398,2.477248211701711,2.4721275051434835,10.347143570582071,512757.319219227,140.31186440677965,140.31186440677965,140.31186440677965
1,2000000000000.0,matched,gpt_2l_44d,2,4,44,64592,5160597.8036495745,5160960,2000140369920.0,1656,3,2520.0,2.441910894711812,0.0015667089079109081,2.4418635686238606,2.4377747058868406,9.645679314931234,557568.6196177077,79.90091652216992,79.90091652216992,79.90091652216992
2,3200000000000.0,matched,gpt_2l_36d,2,4,36,45936,11610356.437942645,11612160,3200497090560.0,2304,3,5670.0,2.369248267014821,0.013737313919593699,2.3690757314364115,2.3673593560854593,25.961433569590252,448412.4376643027,252.78996865203763,252.78996865203763,252.78996865203763
3,5000000000000.0,matched,gpt_2l_44d,2,4,44,64592,12901494.509123936,12902400,5000350924800.0,4038,3,6300.0,2.249222028255463,0.006522944856388117,2.249136316776276,2.252310764789581,22.507764895757038,588876.2482457729,199.75229130542482,199.75229130542482,199.75229130542482
4,8000000000000.0,matched,gpt_2l_44d,2,4,44,64592,20642391.214598298,20643840,8000561479680.0,6300,3,10080.0,2.128420571486155,0.003938509375713347,2.128186591466268,2.1389400680859882,30.269752105077107,682109.3208257701,319.6036660886797,319.6036660886797,319.6036660886797
5,13000000000000.0,matched,gpt_2l_60d,2,4,60,111120,19498440.124790017,19499008,13000378613760.0,9521,3,9521.0,2.008389482895533,0.0037813317990527157,2.0077056686083474,2.0238409002621967,31.57845417658488,626077.1667982779,175.47703383729302,175.47703383729302,175.47703383729302
6,20000000000000.0,matched,gpt_2l_60d,2,4,60,111120,29997600.191984642,29999104,20001002618880.0,13056,3,14648.0,1.9021856367588044,0.0022074193373218588,1.902096845706304,1.9211993118127186,45.13011026382446,665925.4624161926,269.97033837293014,269.97033837293014,269.97033837293014
7,32000000000000.0,matched,gpt_3l_64d,3,4,64,174656,30536215.952119213,30537728,32001584529408.0,14911,3,14911.0,1.7989458680152894,0.00801728907528795,1.7979579250017803,1.8217046201229097,57.22133135795593,537610.5327180908,174.84499816782704,174.84499816782704,174.84499816782704
8,50000000000000.0,matched,gpt_4l_80d,4,4,80,342240,24349384.447561167,24350720,50002742476800.0,15390,3,11890.0,1.6935014526049297,0.010915371790114268,1.6930551052093505,1.7196087896823882,63.306178410847984,384893.904484322,71.15100514259,71.15100514259,71.15100514259
